TRIAL,loop-Energy,loop-Time
1,14281519.0,438756.575
2,13618983.0,338998.914
3,16347004.0,423065.604
4,16983905.0,439452.816
5,15733358.0,395155.48
6,17457108.0,446531.078
7,16002828.0,400228.103
8,16023274.0,393795.213
9,14803429.0,362050.264
10,14928673.0,364981.932
Average,15618008.1,400301.59790000005
