TRIAL,linear_regression-Energy,linear_regression-Time
1,219452563.0,5759856.886
2,205426964.0,5341709.388
3,216422542.0,5658871.067
4,206548360.0,5370414.818
5,212207892.0,5544237.553
6,217012323.0,5695815.457
7,211325814.0,5576369.72
8,206222189.0,5385135.197
9,212797673.0,5639834.887
10,199141764.0,5191239.788
Average,210655808.4,5516348.4761
