TRIAL,loop-Energy,loop-Time
1,10489963.0,278837.869
2,12317108.0,285081.872
3,12926114.0,303626.528
4,12624662.0,285500.707
5,13263883.0,310700.235
6,12375639.0,276895.308
7,14214808.0,325726.88
8,13799159.0,314624.412
9,12828336.0,287361.364
10,12593901.0,282802.262
Average,12743357.3,295115.7437
