TRIAL,linear_regression-Energy,linear_regression-Time
1,72729977.0,1836432.622
2,70614138.0,1763642.762
3,60984280.0,1489312.487
4,56666664.0,1389952.142
5,64579059.0,1629881.953
6,60711941.0,1487067.459
7,65689591.0,1631719.135
8,60380033.0,1491557.716
9,60525236.0,1480540.35
10,58522677.0,1438321.641
Average,63140359.6,1563842.8267
