TRIAL,heap_sort-Energy,heap_sort-Time
1,24678159.0,548458.4
2,24248718.0,564593.585
3,23216188.0,540837.845
4,22631473.0,509992.456
5,22705753.0,525157.202
6,23727234.0,536525.397
7,23756348.0,538785.04
8,25750727.0,577538.377
9,24744688.0,555930.913
10,25445491.0,566936.479
Average,24090477.9,546475.5694
