TRIAL,linear_regression-Energy,linear_regression-Time
1,177843111.0,8135379.362
2,184142962.0,8301260.657
3,164716436.0,9550639.632
4,166000551.0,9145454.187
5,175046305.0,8062705.909
6,168144528.0,9037967.402
7,187539193.0,7554878.016
8,178225374.0,8304855.848
9,176219459.0,8791439.547
10,176321203.0,8833057.491
Average,175419912.2,8571763.805100001
