TRIAL,heap_sort-Energy,heap_sort-Time
1,143677549.0,3735333.295
2,156629665.0,4172946.547
3,138770518.0,3592227.669
4,146732474.0,3818933.16
5,143836363.0,3714265.881
6,160290483.0,4241598.706
7,165947451.0,4448038.653
8,145586969.0,3784358.654
9,165288700.0,4414554.455
10,157203272.0,4145676.59
Average,152396344.4,4006793.361
