TRIAL,loop-Energy,loop-Time
1,4031357050.0,106681519.108
2,2952503916.0,78894460.257
3,2675339770.0,67983856.313
4,2655970435.0,67215070.241
5,2519409199.0,66254287.48
6,2329450458.0,61423274.65
7,2798864234.0,74732850.458
8,2905831550.0,78690692.401
9,2372547332.0,62383815.124
10,3488579082.0,94045889.399
Average,2872985302.6,75830571.5431
