TRIAL,heap_sort-Energy,heap_sort-Time
1,310703367.0,9848035.816
2,261725038.0,8780026.201
3,259991827.0,8253051.454
4,293847575.0,9629416.203
5,256587966.0,8213409.207
6,275969265.0,7780478.531
7,248595494.0,7489390.632
8,249244845.0,7890115.967
9,311676082.0,9715743.811
10,246060100.0,8304578.524
Average,271440155.9,8590424.634600002
